,ggoid_hex,ggoid_dec,tilenum,type,img,id,alpha_j2000,delta_j2000,E_bv,glon,glat,primary,fov_radius,nuv_flux,nuv_fluxerr,nuv_mag,nuv_magerr,fuv_flux,fuv_fluxerr,fuv_mag,fuv_magerr,fuv_ra_adj,fuv_dec_adj,fuv_ncat_mag,nuv_fcat_mag,fuv_ncat_magerr,nuv_fcat_magerr,cn_radius,cn_pa,cn_mag_nuv,cn_mag_fuv,nuv_int,fuv_int,nuv_poserr,fuv_poserr,ib_poserr
7429,2a79820133f00c9f,3060620363452910751 ,21452,0,153,3231,201.473035816,27.8546443217,0.0121395057067,40.3432884216,82.3261184692,0,0.519100368023,30.431142807,3.93089604378,20.1917037964,0.140282377601,19.7665710449,5.06815338135,20.6601772308,0.278450638056,201.472661763,27.8554725288,20.6858520508,20.2823181152,0.330286353827,0.1286457479,30.3836688995,135.63343811,22.6436767578,-999.0,0.041775457561,0.0130002032965,0.627244949341,1.30848526955,1.09603047371
7430,2a79820133d00ca0,3060620363450813600 ,21452,0,153,3232,200.544338697,27.8481020838,0.0150434412062,40.7261161804,83.1458435059,0,0.568493902683,2.98067450523,1.7702344656,22.7142124176,0.644979715347,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,99.0,-999.0,99.0,-999.0,30.3302822113,47.2106323242,21.8337001801,-999.0,0.0,0.0,1.06498301029,-999.0,-999.0
7431,2a79820133d00ca1,3060620363450813601 ,21452,0,153,3233,201.466339774,27.8486287666,0.0121395057067,40.3009414673,82.3323898315,0,0.510664999485,3.18074798584,1.31097090244,22.6436767578,0.447603642941,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,99.0,-999.0,99.0,-999.0,27.5178756714,150.919143677,22.1575450897,-999.0,0.0280026253313,0.0,1.10268878937,-999.0,-999.0
7432,2a79820133d00ca2,3060620363450813602 ,21452,0,153,3234,201.489644111,27.8490350153,0.0120520340279,40.2948799133,82.3117980957,0,0.526075899601,5.40861749649,1.81515800953,22.0672836304,0.364466845989,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,22.0265331268,-999.0,0.615887582302,-999.0,24.5209655762,194.581100464,-999.0,22.1578502655,0.0139676993713,0.0,1.76247167587,-999.0,-999.0
7433,2a79820133d00ca3,3060620363450813603 ,21452,0,153,3235,201.590130722,27.8492065079,0.0123338066041,40.257774353,82.2230911255,0,0.595224797726,4.79718065262,1.88396251202,22.1975345612,0.426497042179,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,99.0,-999.0,99.0,-999.0,39.307800293,357.006103516,22.2845630646,-999.0,0.0,0.0,1.00602400303,-999.0,-999.0
7434,2a79820133d00ca4,3060620363450813604 ,21452,0,153,3236,200.940080981,27.8573815489,0.017585368827,40.5979804993,82.7961730957,0,0.373507350683,32.9506072998,3.96625876427,20.1053409576,0.130721628666,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,23.3171958923,-999.0,1.70814657211,-999.0,32.5248794556,247.247375488,20.0742588043,-999.0,0.0587560236454,0.0,0.540132462978,-999.0,-999.0
7435,2a79820133d00ca5,3060620363450813605 ,21452,0,153,3237,201.158266996,27.8609223376,0.0139428125694,40.5240364075,82.6034698486,0,0.377124041319,11.8123168945,2.57977080345,21.2191619873,0.237178787589,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,24.6260585785,-999.0,4.30111408234,-999.0,25.9533004761,336.961395264,21.8219470978,-999.0,0.0291372630745,0.0,0.89063167572,-999.0,-999.0
7436,2a79820133d00ca6,3060620363450813606 ,21452,0,153,3238,201.074158639,27.8522057034,0.0145422751084,40.4942054749,82.6782455444,0,0.356433540583,6.60253810883,2.02350759506,21.8507213593,0.332830995321,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,99.0,-999.0,99.0,-999.0,29.9603919983,204.687820435,20.477350235,-999.0,0.0,0.0,1.18421566486,-999.0,-999.0
7437,2a79820133d00ca7,3060620363450813607 ,21452,0,153,3239,201.415283539,27.8581418282,0.0129677345976,40.3927192688,82.3768768311,0,0.48596316576,4.87796497345,2.10738968849,22.1794013977,0.469176232815,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,22.6649150848,-999.0,0.999588727951,-999.0,18.5130271912,333.049224854,18.3810901642,19.5545635223,0.0139890713617,0.0,1.004129529,-999.0,-999.0
7438,2a79820133d00ca8,3060620363450813608 ,21452,0,153,3240,201.141842815,27.8521591601,0.0143252015114,40.4633865356,82.6185302734,0,0.365106552839,3.56621432304,1.46468019485,22.5194797516,0.446031153202,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,23.1683883667,-999.0,1.13055980206,-999.0,25.6019191742,31.108291626,22.4942436218,-999.0,0.014685635455,0.0,1.4244852066,-999.0,-999.0
7439,2a79820133f00ca9,3060620363452910761 ,21452,0,153,3241,200.638206857,27.858625244,0.0153082823381,40.7624320984,83.0623016357,0,0.513150513172,29.0052089691,3.8685734272,20.2438087463,0.144845381379,20.2994632721,6.29106760025,20.6312942505,0.33656552434,200.638140261,27.8589449987,20.8904724121,20.2339363098,0.372510612011,0.163395822048,57.8171272278,223.437194824,22.1085987091,-999.0,0.029110757634,0.0,0.582931518555,1.25377142429,1.04721701145
7440,2a79820133d00caa,3060620363450813610 ,21452,0,153,3242,201.521852994,27.8550719356,0.0118472026661,40.3273086548,82.2830123901,0,0.551478505135,14.3065605164,3.64298391342,21.0111618042,0.276536107063,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,99.0,-999.0,99.0,-999.0,57.7727508545,147.187332153,21.3846149445,-999.0,0.0,0.0,1.14327204227,-999.0,-999.0
7441,2a79820133d00cab,3060620363450813611 ,21452,0,153,3243,201.43007947,27.8521855558,0.0129677345976,40.3419647217,82.3641815186,0,0.490481048822,5.97530889511,1.91676557064,21.9590988159,0.348368167877,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,22.3622531891,-999.0,0.750834345818,-999.0,11.5313768387,65.7623519897,22.455116272,-999.0,0.0278806351125,0.0130107747391,1.05673956871,-999.0,-999.0
7442,2a79820133d00cac,3060620363450813612 ,21452,0,153,3244,200.605052961,27.8539717184,0.0152263185009,40.7418746948,83.0918731689,0,0.531217157841,4.01624298096,1.50684821606,22.3904495239,0.407454699278,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,23.7871627808,-999.0,1.65577232838,-999.0,30.4068126678,161.563598633,22.5235061646,-999.0,0.0441480800509,0.0,1.18486404419,-999.0,-999.0
7443,2a79820133d00cad,3060620363450813613 ,21452,0,153,3245,200.720909912,27.8593174139,0.0162187740207,40.7240486145,82.9893264771,0,0.46468770504,10.6498432159,2.72062921524,21.3316402435,0.277431637049,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,22.5869350433,-999.0,1.02484762669,-999.0,34.7759819031,41.3127250671,22.2081375122,-999.0,0.0144469523802,0.0154552040622,0.94797617197,-999.0,-999.0
7444,2a79820133d00cae,3060620363450813614 ,21452,0,153,3246,201.107189177,27.8537947803,0.0143252015114,40.4916419983,82.6490020752,0,0.361040532589,5.05385446548,1.69409549236,22.1409416199,0.364036560059,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,99.0,-999.0,99.0,-999.0,52.7184066772,133.292373657,-999.0,22.1893081665,0.0,0.0,1.43283319473,-999.0,-999.0
7445,2a79820133d00caf,3060620363450813615 ,21452,0,153,3247,200.560367489,27.8559715786,0.0152407651767,40.7829780579,83.1311264038,0,0.562393963337,12.3940839767,2.84504938126,21.1669635773,0.249290198088,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,22.1871356964,-999.0,0.794728398323,-999.0,54.0645446777,355.658721924,22.3674278259,-999.0,0.0,0.0,0.993568122387,-999.0,-999.0
7446,2a79820133f00cb0,3060620363452910768 ,21452,0,153,3248,201.27862224,27.9789861066,0.012892193161,41.3724594116,82.488861084,0,0.523645818233,8764.15722656,59.7001113892,14.043223381,0.00739766703919,202.99671936,15.6259078979,18.1312828064,0.0835961103439,201.279009673,27.9794152006,18.0736255646,15.0430412292,0.107681140304,0.010749373585,61.2254524231,358.041748047,-999.0,21.7208023071,1.13053452969,0.14599750936,0.477542608976,0.586468219757,0.465783894062
7447,2a79820133d00cb1,3060620363450813617 ,21452,0,153,3249,201.426780037,27.8535085199,0.0129677345976,40.3532295227,82.3670120239,0,0.489436596632,3.7840154171,1.97956585884,22.455116272,0.568128883839,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,23.2811508179,-999.0,1.51737892628,-999.0,11.5313768387,245.762359619,21.9590988159,-999.0,0.0278624296188,0.0,1.09319043159,-999.0,-999.0
7448,2a79820133d00cb2,3060620363450813618 ,21452,0,153,3250,200.990578646,27.8554023688,0.0160043071955,40.5581474304,82.7517623901,0,0.362596482038,6.53235673904,2.81854820251,21.862323761,0.46858176589,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,99.0,-999.0,99.0,-999.0,34.8470878601,312.889709473,21.4419498444,-999.0,0.0,0.0,1.28057610989,-999.0,-999.0
7449,2a79820133d00cb3,3060620363450813619 ,21452,0,153,3251,200.907010897,27.8547461556,0.0187716912478,40.5930099487,82.8255233765,0,0.379614233971,4.14060878754,1.59017074108,22.3573379517,0.417070418596,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,23.0839729309,-999.0,1.12928783894,-999.0,19.0558300018,56.7120323181,22.4336509705,-999.0,0.0156402736902,0.0,1.54660463333,-999.0,-999.0
7450,2a79820133d00cb4,3060620363450813620 ,21452,0,153,3252,200.53731683,27.853797983,0.015315765515,40.7776069641,83.1516113281,0,0.576894402504,6.70686721802,2.5673725605,21.8337001801,0.415718197823,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,22.7691478729,-999.0,1.229347229,-999.0,30.3302822113,227.210632324,22.7142124176,-999.0,0.0,0.0,0.92225009203,-999.0,-999.0
7451,2a79820133d00cb5,3060620363450813621 ,21452,0,153,3253,200.58739515,27.8542294161,0.0152407651767,40.7536239624,83.107421875,0,0.543055355549,7.45723199844,2.10010075569,21.7185554504,0.305838614702,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,22.9843597412,-999.0,1.14587843418,-999.0,32.4604644775,120.803901672,18.1965808868,-999.0,0.0148354191333,0.0,1.0465631485,-999.0,-999.0
7452,2a79820133d00cb6,3060620363450813622 ,21452,0,153,3254,200.971916995,27.8563712231,0.017585368827,40.5746765137,82.7681655884,0,0.366262644529,3.60258698463,1.46449828148,22.5084629059,0.441473066807,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,99.0,-999.0,99.0,-999.0,29.5965232849,304.172058105,22.0756244659,-999.0,0.0,0.0,1.27009093761,-999.0,-999.0
7453,2a79820133d00cb7,3060620363450813623 ,21452,0,153,3255,200.755521596,27.8564434987,0.0162187740207,40.682598114,82.9590148926,0,0.44384843111,3.40117883682,1.54697155952,22.5709247589,0.493949621916,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,99.0,-999.0,99.0,-999.0,19.1848716736,54.0638618469,-999.0,21.8870182037,0.014505892992,0.0,1.10323727131,-999.0,-999.0
7454,2a79820133d00cb8,3060620363450813624 ,21452,0,153,3256,201.272412423,27.8571713242,0.0112922461703,40.4450492859,82.5030059814,0,0.411496698856,5.02690267563,2.09396266937,22.1467475891,0.452374666929,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,23.315486908,-999.0,1.57617342472,-999.0,51.9586410522,323.467926025,22.7042598724,-999.0,0.0287124272436,0.0,1.0910333395,-999.0,-999.0
7455,2a79820133d00cb9,3060620363450813625 ,21452,0,153,3257,201.02063866,27.8579607093,0.0160043071955,40.5641746521,82.7250747681,0,0.362333208323,3.11453342438,1.82773959637,22.6665172577,0.637310564518,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,99.0,-999.0,99.0,-999.0,52.9926567078,63.3750953674,22.72905159,-999.0,0.0,0.0,1.05704200268,-999.0,-999.0
7456,2a79820133d00cba,3060620363450813626 ,21452,0,153,3258,200.90200123,27.8576448025,0.0187716912478,40.6186180115,82.8297424316,0,0.38382974267,3.8595700264,1.44954848289,22.4336509705,0.40787178278,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,24.1281356812,-999.0,2.03646540642,-999.0,19.0558300018,236.712036133,22.3573379517,-999.0,0.0,0.0,1.03187322617,-999.0,-999.0
